park_code,park_name,state,acres,day,month,year
ACAD,Acadia National Park,ME,47390,26,2,1919
ARCH,Arches National Park,UT,76519,12,11,1971
BADL,Badlands National Park,SD,242756,10,11,1978
BIBE,Big Bend National Park,TX,801163,12,6,1944
BISC,Biscayne National Park,FL,172924,28,6,1980
BLCA,Black Canyon of the Gunnison National Park,CO,32950,21,11,1999
BRCA,Bryce Canyon National Park,UT,35835,25,2,1928
CANY,Canyonlands National Park,UT,337598,12,9,1964
CARE,Capitol Reef National Park,UT,241904,18,12,1971
CAVE,Carlsbad Caverns National Park,NM,46766,14,5,1930
CHIS,Channel Islands National Park,CA,249561,5,3,1980
CONG,Congaree National Park,SC,26546,10,11,2003
CRLA,Crater Lake National Park,OR,183224,22,5,1902
CUVA,Cuyahoga Valley National Park,OH,32950,11,11,2000
DENA,Denali National Park and Preserve,AK,3372402,26,2,1917
DEVA,Death Valley National Park,CA,4740912,31,10,1994
DRTO,Dry Tortugas National Park,FL,64701,26,11,1992
EVER,Everglades National Park,FL,1508538,30,5,1934
GAAR,Gates Of The Arctic National Park and Preserve,AK,7523898,2,12,1980
GLAC,Glacier National Park,MT,1013572,11,5,1910
GLBA,Glacier Bay National Park and Preserve,AK,3224840,2,12,1980
GRBA,Great Basin National Park,NV,77180,27,11,1986
GRCA,Grand Canyon National Park,AZ,1217403,26,2,1919
GRSA,Great Sand Dunes National Park and Preserve,CO,42984,24,9,2004
GRSM,Great Smoky Mountains National Park,TN,521490,14,6,1934
GRTE,Grand Teton National Park,WY,309995,26,2,1929
GUMO,Guadalupe Mountains National Park,TX,86416,15,11,1966
HALE,Haleakala National Park,HI,29094,1,7,1961
HAVO,Hawaii Volcanoes National Park,HI,323431,1,8,1916
HOSP,Hot Springs National Park,AR,5550,4,3,1921
ISRO,Isle Royale National Park,MI,571790,3,4,1940
JOTR,Joshua Tree National Park,CA,789745,31,10,1994
KATM,Katmai National Park and Preserve,AK,3674530,2,12,1980
KEFJ,Kenai Fjords National Park,AK,669983,2,12,1980
KOVA,Kobuk Valley National Park,AK,1750717,2,12,1980
LACL,Lake Clark National Park and Preserve,AK,2619733,2,12,1980
LAVO,Lassen Volcanic National Park,CA,106372,9,8,1916
MACA,Mammoth Cave National Park,KY,52830,1,7,1941
MEVE,Mesa Verde National Park,CO,52122,29,6,1906
MORA,Mount Rainier National Park,WA,235625,2,3,1899
NOCA,North Cascades National Park,WA,504781,2,10,1968
OLYM,Olympic National Park,WA,922651,29,6,1938
PEFO,Petrified Forest National Park,AZ,93533,9,12,1962
PINN,Pinnacles National Park,CA,26606,10,1,2013
REDW,Redwood National Park,CA,112512,2,10,1968
ROMO,Rocky Mountain National Park,CO,265828,26,1,1915
SAGU,Saguaro National Park,AZ,91440,14,10,1994
SEKI,Sequoia and Kings Canyon National Parks,CA,865952,25,9,1890
SHEN,Shenandoah National Park,VA,199045,26,12,1935
THRO,Theodore Roosevelt National Park,ND,70447,10,11,1978
VOYA,Voyageurs National Park,MN,218200,8,4,1975
WICA,Wind Cave National Park,SD,28295,9,1,1903
WRST,Wrangell - St Elias National Park and Preserve,AK,8323148,2,12,1980
YELL,Yellowstone National Park,WY,2219791,1,3,1872
YOSE,Yosemite National Park,CA,761266,1,10,1890
ZION,Zion National Park,UT,146598,19,11,1919
